Date,Open,High,Low,Close
1950-01-01,16.65999984741211,17.09000015258789,16.65999984741211,17.049999237060547
1950-02-01,17.049999237060547,17.31999969482422,16.989999771118164,17.219999313354492
1950-03-01,17.239999771118164,17.559999465942383,17.06999969482422,17.290000915527344
1950-04-01,17.530000686645508,18.049999237060547,17.530000686645508,17.959999084472656
1950-05-01,18.219999313354492,18.780000686645508,18.110000610351562,18.780000686645508
1950-06-01,18.770000457763672,19.399999618530273,17.440000534057617,17.690000534057617
1950-07-01,17.639999389648438,17.90999984741211,16.68000030517578,17.84000015258789
1950-08-01,18.020000457763672,18.81999969482422,17.950000762939453,18.420000076293945
1950-09-01,18.549999237060547,19.450000762939453,18.540000915527344,19.450000762939453
1950-10-01,19.690000534057617,20.1200008392334,19.530000686645508,19.530000686645508
1950-11-01,19.559999465942383,20.31999969482422,19.360000610351562,19.510000228881836
1950-12-01,19.65999984741211,20.43000030517578,19.0,20.43000030517578
1951-01-01,20.770000457763672,21.739999771118164,20.690000534057617,21.65999984741211
1951-02-01,21.770000457763672,22.200000762939453,21.760000228881836,21.799999237060547
1951-03-01,21.850000381469727,21.950000762939453,21.25,21.479999542236328
1951-04-01,21.31999969482422,22.43000030517578,21.260000228881836,22.43000030517578
1951-05-01,22.530000686645508,22.809999465942383,21.030000686645508,21.520000457763672
1951-06-01,21.479999542236328,22.049999237060547,20.959999084472656,20.959999084472656
1951-07-01,21.100000381469727,22.6299991607666,21.100000381469727,22.399999618530273
1951-08-01,22.510000228881836,23.280000686645508,22.510000228881836,23.280000686645508
1951-09-01,23.280000686645508,23.709999084472656,23.260000228881836,23.260000228881836
1951-10-01,23.469999313354492,23.850000381469727,22.65999984741211,22.940000534057617
1951-11-01,23.100000381469727,23.100000381469727,22.399999618530273,22.8799991607666
1951-12-01,23.010000228881836,23.770000457763672,23.010000228881836,23.770000457763672
1952-01-01,23.799999237060547,24.65999984741211,23.739999771118164,24.139999389648438
1952-02-01,24.299999237060547,24.299999237060547,23.09000015258789,23.260000228881836
1952-03-01,23.290000915527344,24.3700008392334,23.290000915527344,24.3700008392334
1952-04-01,24.18000030517578,24.18000030517578,23.31999969482422,23.31999969482422
1952-05-01,23.170000076293945,23.940000534057617,23.170000076293945,23.860000610351562
1952-06-01,23.799999237060547,24.959999084472656,23.780000686645508,24.959999084472656
1952-07-01,25.1200008392334,25.399999618530273,24.809999465942383,25.399999618530273
